model,input_column,accuracy,precision,recall,f1,confusion_matrix
Linear SVM,content,0.9966743412637503,0.9974796975637077,0.9952500698519139,0.9963636363636365,"[[4230, 9], [17, 3562]]"
Logistic Regression,content,0.9893834740342798,0.9940644431882419,0.9826767253422743,0.9883377827736406,"[[4218, 21], [62, 3517]]"
Multinomial NB,content,0.9623944742900997,0.9561232990835878,0.9620005588153115,0.9590529247910862,"[[4081, 158], [136, 3443]]"
Random Forest (SVD),content,0.9609874648247634,0.9775379229871646,0.9362950544844929,0.9564720993292423,"[[4162, 77], [228, 3351]]"
